case_id,method,answer
adv_bind_001,adversarial_text_rag_retrieval_limited,"The exact candidate-to-r=0.958037 binding is not available from the retrieved text. Its candidate-specific lag and typed-edge status are also unavailable, so they cannot be inferred."
adv_bind_002,adversarial_text_rag_retrieval_limited,The exact candidate-to-r=0.947016 binding is not available from the retrieved text. The associated paired-week count is likewise unavailable and should not be invented.
adv_bind_003,adversarial_text_rag_retrieval_limited,The exact candidate-to-r=0.925810 binding is not available from the retrieved text. The candidate's evidence and typed-edge status are also not preserved in this snippet.
adv_bind_004,adversarial_text_rag_retrieval_limited,"The snippet says a negative control was included, but it does not bind r=-0.048027 to a named candidate or provide its exact lag, paired-week count, evidence status, or edge status. Therefore the retrieved text does not support promoting it into a typed edge."
adv_bind_005,adversarial_text_rag_retrieval_limited,"The retrieved text says three empirical candidates were supported and one negative control was not, but it omits the ordered score table. The candidates cannot be ranked by score without inventing the missing bindings."
adv_bind_006,adversarial_text_rag_retrieval_limited,The exact EvidenceClaim count and typed LEADING_INDICATOR_FOR edge count are not available from the retrieved text. It only establishes that claims and typed edges are different objects and that some claims may not be promoted.
adv_bind_007,adversarial_text_rag_retrieval_limited,"EvidenceClaims can record evaluated assertions that do not satisfy promotion into typed KG edges, so the counts may differ. The retrieved text does not provide either exact count or identify the unpromoted claim."
adv_bind_008,adversarial_text_rag_retrieval_limited,No. Chile Influenza Activity belongs to a controlled fixture scenario and should not be imported into the empirical_influenza answer. The retrieved text does not provide the full empirical candidate table.
adv_bind_009,adversarial_text_rag_retrieval_limited,"The retrieved text does not provide the full empirical_influenza candidate table, so an exact candidate list cannot be given. Controlled-fixture distractors should remain excluded rather than being used to fill the missing list."
adv_bind_010,adversarial_text_rag_retrieval_limited,"The retrieved text does not identify a supported candidate or provide its exact score, lag, paired-week count, evidence status, or edge status, so one candidate cannot be recommended responsibly. Any future model-revision test should use retrieved screening evidence and require downstream validation without causal claims."
adv_bind_011,adversarial_text_rag_retrieval_limited,"The candidate to exclude cannot be identified from the retrieved text. It provides no candidate-specific best lag, score, paired-week count, support status, or edge status, and a listed lag alone would not establish support."
adv_bind_012,adversarial_text_rag_retrieval_limited,The three promoted candidates cannot be named from this retrieved snippet. It states only that some candidates received typed leading-indicator edges while another did not; exact edge membership is unavailable.
adv_bind_013,adversarial_text_rag_retrieval_limited,"The retrieved text does not establish whether Outpatient ILI activity or Influenza A wastewater concentration is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_014,adversarial_text_rag_retrieval_limited,"The retrieved text does not establish whether Influenza A wastewater concentration or Influenza test positivity is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_015,adversarial_text_rag_retrieval_limited,"The retrieved text does not establish whether Outpatient ILI activity or Influenza test positivity is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_016,adversarial_text_rag_retrieval_limited,"The retrieved text does not identify which candidates have 29 paired weeks. It says paired-week counts differed after alignment, but the candidate-to-count bindings are unavailable."
adv_bind_017,adversarial_text_rag_retrieval_limited,"The retrieved text does not identify which candidates have 26 paired weeks. It says paired-week counts differed after alignment, but the candidate-to-count bindings are unavailable."
adv_bind_018,adversarial_text_rag_retrieval_limited,"The retrieved text does not identify which supported candidates have lag 1 week. Candidate-specific lags and support statuses are not preserved, so the membership cannot be reconstructed."
adv_bind_019,adversarial_text_rag_retrieval_limited,The retrieved text does not identify which candidate has lag 4 weeks or give its support and edge status. A recorded lag by itself would not justify a typed edge; candidate-specific evidence is required.
adv_bind_020,adversarial_text_rag_retrieval_limited,"No. The retrieved text explicitly frames lagged correlations as screening evidence, not causal proof. It also states that forecast improvement has not been validated."
adv_bind_001,adversarial_graphrag_context,"Outpatient ILI activity has evidence status present, lag 1 week, r=0.958037, and 29 paired weeks. It has a typed LEADING_INDICATOR_FOR edge; this is screening evidence, not causal proof."
adv_bind_002,adversarial_graphrag_context,"Influenza A wastewater concentration has evidence status present, lag 1 week, r=0.947016, and 26 paired weeks. It has a typed LEADING_INDICATOR_FOR edge; this remains screening evidence."
adv_bind_003,adversarial_graphrag_context,"Influenza test positivity has evidence status present, lag 1 week, r=0.925810, and 29 paired weeks. It has a typed LEADING_INDICATOR_FOR edge, without implying causality or validated forecast improvement."
adv_bind_004,adversarial_graphrag_context,"Negative-control permuted surveillance signal has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. It was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_005,adversarial_graphrag_context,"The supported ranking is 1. Outpatient ILI activity: status present, lag 1 week, r=0.958037, 29 paired weeks, typed LEADING_INDICATOR_FOR edge; 2. Influenza A wastewater concentration: status present, lag 1 week, r=0.947016, 26 paired weeks, typed edge; 3. Influenza test positivity: status present, lag 1 week, r=0.925810, 29 paired weeks, typed edge. These scores are screening evidence, not causal proof."
adv_bind_006,adversarial_graphrag_context,"There are 4 EvidenceClaims and 3 typed LEADING_INDICATOR_FOR edges. The three status-present candidates have typed edges, while the Negative-control permuted surveillance signal has status missing and no typed edge."
adv_bind_007,adversarial_graphrag_context,"The counts differ because all four evaluations exist as EvidenceClaims, but only the three status-present candidates have typed LEADING_INDICATOR_FOR edges. The Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks, so it was not promoted and has no typed edge."
adv_bind_008,adversarial_graphrag_context,No. Chile Influenza Activity is listed as a controlled-fixture distractor to exclude and is not part of the empirical_influenza candidate set.
adv_bind_009,adversarial_graphrag_context,"The empirical_influenza candidates are only Outpatient ILI activity, Influenza A wastewater concentration, Influenza test positivity, and Negative-control permuted surveillance signal. The first three have evidence status present and typed LEADING_INDICATOR_FOR edges; the negative control has evidence status missing and no typed edge."
adv_bind_010,adversarial_graphrag_context,"Outpatient ILI activity is the strongest candidate for a cautious model-revision test: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. This is screening evidence, not causal proof, and downstream validation is required before claiming forecast improvement."
adv_bind_011,adversarial_graphrag_context,"Negative-control permuted surveillance signal should be excluded from model revision despite its listed best lag. It has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks; it was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_012,adversarial_graphrag_context,"The typed LEADING_INDICATOR_FOR edges belong to Outpatient ILI activity (status present, lag 1 week, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, lag 1 week, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, lag 1 week, r=0.925810, 29 paired weeks). These are the three supported screening relationships."
adv_bind_013,adversarial_graphrag_context,"Outpatient ILI activity is stronger by score: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza A wastewater concentration has evidence status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed edge."
adv_bind_014,adversarial_graphrag_context,"Influenza A wastewater concentration is stronger by score: evidence status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has evidence status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_015,adversarial_graphrag_context,"Outpatient ILI activity is stronger by score: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has evidence status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_016,adversarial_graphrag_context,"Outpatient ILI activity and Influenza test positivity each have 29 paired weeks. Both have evidence status present, lag 1 week, and typed LEADING_INDICATOR_FOR edges, with r=0.958037 and r=0.925810 respectively."
adv_bind_017,adversarial_graphrag_context,"Influenza A wastewater concentration and Negative-control permuted surveillance signal each have 26 paired weeks. Wastewater has evidence status present, lag 1 week, r=0.947016, and a typed LEADING_INDICATOR_FOR edge; the negative control has evidence status missing, lag 4 weeks, r=-0.048027, and no typed edge."
adv_bind_018,adversarial_graphrag_context,"The supported candidates with lag 1 week are Outpatient ILI activity (status present, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, r=0.925810, 29 paired weeks). Each has a typed LEADING_INDICATOR_FOR edge, and each result is screening evidence."
adv_bind_019,adversarial_graphrag_context,"Negative-control permuted surveillance signal has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. A listed best lag alone does not establish support, so it was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_020,adversarial_graphrag_context,"No. The lagged correlations are screening evidence, not causal proof. The supported signals may motivate model-revision testing, but downstream validation is still required before claiming forecast improvement."
